159.571	-1.00
159.963	6.00
160.354	10.00
160.746	14.00
161.137	-2.00
161.528	5.00
161.920	5.00
162.311	6.00
162.703	3.00
163.094	9.00
163.485	1.00
163.877	2.00
164.268	5.00
164.660	2.00
165.051	14.00
165.442	2.00
165.834	13.00
166.225	5.00
166.616	7.00
167.007	10.00
167.399	7.00
167.790	3.00
168.181	11.00
168.573	11.00
168.964	11.00
169.355	2.00
169.746	0.00
170.138	7.00
170.529	12.00
170.920	-4.00
171.311	3.00
171.702	-9.00
172.094	0.00
172.485	3.00
172.876	3.00
173.267	-2.00
173.658	1.00
174.050	-9.00
174.441	7.00
174.832	2.00
175.223	-3.00
175.614	1.00
176.005	1.00
176.396	4.00
176.787	14.00
177.179	4.00
177.570	4.00
177.961	12.00
178.352	1.00
178.743	3.00
179.134	12.00
179.525	3.00
179.916	1.00
180.307	8.00
180.698	7.00
181.089	8.00
181.480	-1.00
181.871	3.00
182.262	2.00
182.653	-5.00
183.044	0.00
183.435	14.00
183.826	10.00
184.217	7.00
184.608	2.00
184.999	8.00
185.390	1.00
185.781	7.00
186.172	-1.00
186.563	5.00
186.954	-1.00
187.345	-10.00
187.736	15.00
188.126	8.00
188.517	1.00
188.908	3.00
189.299	-9.00
189.690	0.00
190.081	14.00
190.472	-2.00
190.862	6.00
191.253	-2.00
191.644	0.00
192.035	4.00
192.426	8.00
192.817	5.00
193.207	3.00
193.598	-8.00
193.989	-2.00
194.380	9.00
194.771	8.00
195.161	4.00
195.552	12.00
195.943	-6.00
196.334	11.00
196.724	9.00
197.115	-1.00
197.506	11.00
197.897	5.00
198.287	1.00
198.678	-4.00
199.069	13.00
199.459	4.00
199.850	0.00
200.241	1.00
200.632	-1.00
201.022	2.00
201.413	17.00
201.804	2.00
202.194	8.00
202.585	0.00
202.976	5.00
203.366	6.00
203.757	8.00
204.147	6.00
204.538	2.00
204.929	8.00
205.319	-3.00
205.710	0.00
206.101	2.00
206.491	3.00
206.882	6.00
207.272	12.00
207.663	14.00
208.053	8.00
208.444	5.00
208.835	2.00
209.225	8.00
209.616	8.00
210.006	-9.00
210.397	18.00
210.787	15.00
211.178	3.00
211.568	3.00
211.959	0.00
212.349	2.00
212.740	10.00
213.130	6.00
213.521	16.00
213.911	4.00
214.302	8.00
214.692	-4.00
215.083	10.00
215.473	4.00
215.864	2.00
216.254	0.00
216.645	1.00
217.035	8.00
217.426	5.00
217.816	18.00
218.206	3.00
218.597	-2.00
218.987	20.00
219.378	12.00
219.768	4.00
220.159	3.00
220.549	9.00
220.939	-5.00
221.330	16.00
221.720	6.00
222.111	4.00
222.501	14.00
222.891	9.00
223.282	5.00
223.672	0.00
224.062	6.00
224.453	14.00
224.843	0.00
225.233	10.00
225.624	6.00
226.014	3.00
226.404	10.00
226.795	0.00
227.185	-1.00
227.575	3.00
227.966	6.00
228.356	-6.00
228.746	11.00
229.137	5.00
229.527	-3.00
229.917	14.00
230.308	3.00
230.698	4.00
231.088	13.00
231.478	7.00
231.869	12.00
232.259	10.00
232.649	-7.00
233.040	11.00
233.430	7.00
233.820	13.00
234.210	9.00
234.601	9.00
234.991	5.00
235.381	0.00
235.771	8.00
236.161	5.00
236.552	-2.00
236.942	3.00
237.332	8.00
237.722	10.00
238.113	6.00
238.503	12.00
238.893	10.00
239.283	5.00
239.673	16.00
240.064	10.00
240.454	8.00
240.844	16.00
241.234	6.00
241.624	4.00
242.014	6.00
242.405	7.00
242.795	8.00
243.185	8.00
243.575	3.00
243.965	1.00
244.355	18.00
244.746	9.00
245.136	19.00
245.526	-6.00
245.916	11.00
246.306	7.00
246.696	-9.00
247.086	15.00
247.477	4.00
247.867	-4.00
248.257	11.00
248.647	-2.00
249.037	13.00
249.427	5.00
249.817	10.00
250.207	7.00
250.598	-4.00
250.988	16.00
251.378	6.00
251.768	10.00
252.158	6.00
252.548	11.00
252.938	11.00
253.328	16.00
253.718	14.00
254.108	7.00
254.498	6.00
254.888	10.00
255.279	1.00
255.669	12.00
256.059	10.00
256.449	-3.00
256.839	10.00
257.229	0.00
